datetime,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque
1/10/2012 12:00,,,,,,,,
1/10/2012 13:00,81,88,81,88,82,22,23,50
1/10/2012 14:00,80,87,80,88,81,21,23,49
1/10/2012 15:00,80,86,80,88,81,21,23,49
1/10/2012 16:00,80,85,79,88,81,21,23,49
1/10/2012 17:00,79,84,79,88,80,21,24,49
1/10/2012 18:00,79,83,78,88,80,21,24,49
1/10/2012 19:00,78,82,77,88,80,21,24,49
1/10/2012 20:00,78,81,77,88,79,20,25,49
1/10/2012 21:00,77,80,76,88,79,20,25,49
1/10/2012 22:00,77,79,76,88,78,20,26,48
1/10/2012 23:00,77,78,75,88,78,20,26,48
2/10/2012 0:00,76,77,75,88,78,20,26,48
2/10/2012 1:00,76,76,74,88,77,20,27,48
2/10/2012 2:00,75,75,73,88,77,19,27,48
2/10/2012 3:00,75,74,73,88,77,19,27,48
2/10/2012 4:00,75,73,72,88,76,19,28,48
2/10/2012 5:00,74,72,72,88,76,19,28,48
2/10/2012 6:00,74,71,71,88,75,19,29,47
2/10/2012 7:00,73,70,71,88,75,19,29,47
2/10/2012 8:00,73,69,70,88,75,18,29,47
2/10/2012 9:00,73,68,69,88,74,18,30,47
2/10/2012 10:00,72,67,69,88,74,18,30,47
2/10/2012 11:00,72,66,68,88,74,18,30,47
2/10/2012 12:00,71,65,68,88,73,18,31,47
2/10/2012 13:00,71,64,67,88,73,18,31,47
2/10/2012 14:00,71,63,67,88,73,18,32,47
2/10/2012 15:00,76,51,87,88,73,16,17,41
2/10/2012 16:00,62,56,76,23,22,23,28,40
2/10/2012 17:00,75,94,58,19,15,18,,
2/10/2012 18:00,52,70,63,24,57,9,9,23
2/10/2012 19:00,60,83,48,15,57,9,,
2/10/2012 20:00,56,75,43,12,35,9,13,22
2/10/2012 21:00,34,75,43,14,69,8,,21
2/10/2012 22:00,32,18,38,22,65,8,7,15
2/10/2012 23:00,32,11,49,21,61,8,6,15
3/10/2012 0:00,34,15,38,27,61,8,6,15
3/10/2012 1:00,39,18,40,42,65,8,9,19
3/10/2012 2:00,50,25,56,54,57,9,,19
3/10/2012 3:00,53,31,64,57,61,,,24
3/10/2012 4:00,60,27,93,60,64,18,14,24
3/10/2012 5:00,64,31,77,53,73,19,16,39
3/10/2012 6:00,72,28,76,60,69,15,19,39
3/10/2012 7:00,82,89,71,60,73,19,18,39
3/10/2012 8:00,86,89,67,24,52,24,42,
3/10/2012 9:00,77,68,71,53,78,19,25,39
3/10/2012 10:00,71,48,76,56,77,17,28,47
3/10/2012 11:00,76,83,87,26,59,30,,
3/10/2012 12:00,78,62,84,45,68,,32,
3/10/2012 13:00,81,42,81,64,64,21,28,50
3/10/2012 14:00,81,48,67,64,60,,26,50
3/10/2012 15:00,79,53,58,56,54,,22,45
3/10/2012 16:00,77,58,50,49,49,9,19,41
3/10/2012 17:00,76,64,42,42,44,14,16,37
3/10/2012 18:00,71,60,39,24,45,11,15,34
3/10/2012 19:00,63,56,34,21,51,11,13,30
3/10/2012 20:00,63,50,32,38,51,11,11,25
3/10/2012 21:00,55,41,33,33,45,10,10,21
3/10/2012 22:00,52,28,33,34,53,9,9,18
3/10/2012 23:00,49,16,33,35,61,8,8,15
4/10/2012 0:00,43,17,41,35,51,7,7,14
4/10/2012 1:00,52,21,38,39,54,7,8,10
4/10/2012 2:00,55,24,47,47,65,9,,13
4/10/2012 3:00,62,25,50,60,73,10,13,15
4/10/2012 4:00,58,31,58,69,73,13,16,15
4/10/2012 5:00,62,94,58,69,78,15,17,18
4/10/2012 6:00,66,88,58,73,78,14,18,25
4/10/2012 7:00,77,100,40,57,88,16,,29
4/10/2012 8:00,71,55,40,77,83,20,25,25
4/10/2012 9:00,83,94,71,66,88,18,,27
4/10/2012 10:00,71,67,34,82,83,24,33,35
4/10/2012 11:00,71,67,60,82,88,28,28,33
4/10/2012 12:00,66,72,56,82,88,28,31,43
4/10/2012 13:00,77,72,63,82,88,28,37,
4/10/2012 14:00,74,72,59,82,94,23,32,
4/10/2012 15:00,61,72,56,93,94,18,27,33
4/10/2012 16:00,23,68,57,88,94,16,26,22
4/10/2012 17:00,25,68,35,73,83,13,25,17
4/10/2012 18:00,25,64,47,61,69,10,19,14
4/10/2012 19:00,24,64,47,54,61,11,17,11
4/10/2012 20:00,22,57,39,54,61,10,14,12
4/10/2012 21:00,22,64,39,57,54,10,11,8
4/10/2012 22:00,19,47,31,57,61,8,11,7
4/10/2012 23:00,19,41,,60,65,8,10,7
5/10/2012 0:00,19,47,33,50,73,7,10,8
5/10/2012 1:00,22,53,36,60,73,9,12,9
5/10/2012 2:00,25,68,44,77,78,9,16,11
5/10/2012 3:00,25,68,41,88,83,11,18,12
5/10/2012 4:00,,72,47,88,78,12,20,12
5/10/2012 5:00,29,72,50,82,83,10,21,15
5/10/2012 6:00,31,72,46,82,83,15,23,17
5/10/2012 7:00,41,80,39,81,85,7,27,19
5/10/2012 8:00,52,88,32,81,88,,32,22
5/10/2012 9:00,59,88,44,81,85,11,31,23
5/10/2012 10:00,66,88,57,82,82,22,31,24
5/10/2012 11:00,70,72,70,88,82,24,31,28
5/10/2012 12:00,61,77,70,77,77,22,33,28
5/10/2012 13:00,57,77,66,77,82,22,49,26
5/10/2012 14:00,61,72,42,72,77,25,46,26
5/10/2012 15:00,57,72,76,72,73,21,44,23
5/10/2012 16:00,53,72,66,64,68,,30,19
5/10/2012 17:00,54,60,46,64,64,,26,
5/10/2012 18:00,41,74,47,63,53,,,17
5/10/2012 19:00,35,50,36,55,53,15,,
5/10/2012 20:00,16,74,41,49,57,7,,
5/10/2012 21:00,15,47,45,41,53,,,13
5/10/2012 22:00,14,79,42,52,53,,,13
5/10/2012 23:00,26,50,,60,64,,,
6/10/2012 0:00,26,63,,60,64,10,14,13
6/10/2012 1:00,18,67,27,64,68,9,15,13
6/10/2012 2:00,29,100,28,76,77,14,,20
6/10/2012 3:00,25,72,50,82,73,14,16,14
6/10/2012 4:00,31,77,50,82,73,15,24,16
6/10/2012 5:00,25,72,,82,77,15,23,17
6/10/2012 6:00,25,77,,82,72,,26,16
6/10/2012 7:00,47,94,53,90,87,,,22
6/10/2012 8:00,52,91,55,89,82,,16,23
6/10/2012 9:00,57,88,57,88,77,,33,24
6/10/2012 10:00,70,77,61,88,72,30,33,23
6/10/2012 11:00,66,72,81,88,68,28,37,32
6/10/2012 12:00,80,100,46,94,77,39,48,34
6/10/2012 13:00,55,78,76,77,72,36,54,
6/10/2012 14:00,86,74,81,94,77,36,56,
6/10/2012 15:00,75,77,,82,72,24,37,29
6/10/2012 16:00,66,77,62,72,68,22,33,
6/10/2012 17:00,54,68,43,72,64,18,26,24
6/10/2012 18:00,20,63,31,64,60,,22,19
6/10/2012 19:00,16,63,38,56,56,15,20,17
6/10/2012 20:00,15,56,36,50,60,14,16,13
6/10/2012 21:00,13,53,34,57,60,13,14,13
6/10/2012 22:00,14,46,28,56,60,15,13,12
6/10/2012 23:00,13,60,32,56,64,14,,10
7/10/2012 0:00,14,68,32,56,68,,10,11
7/10/2012 1:00,16,68,34,64,73,13,13,12
7/10/2012 2:00,20,68,36,68,73,,16,13
7/10/2012 3:00,22,72,44,77,73,19,17,14
7/10/2012 4:00,20,77,47,82,73,24,18,14
7/10/2012 5:00,23,77,30,82,77,27,19,14
7/10/2012 6:00,27,82,42,88,78,27,20,17
7/10/2012 7:00,32,88,54,94,80,28,21,20
7/10/2012 8:00,37,94,66,100,82,30,23,24
7/10/2012 9:00,,82,81,82,88,30,28,38
7/10/2012 10:00,46,87,81,82,82,30,35,85
7/10/2012 11:00,61,87,81,93,82,30,33,53
7/10/2012 12:00,61,87,81,88,77,28,37,53
7/10/2012 13:00,81,87,81,82,77,21,40,57
7/10/2012 14:00,81,82,70,88,77,22,37,57
7/10/2012 15:00,75,82,70,77,77,,33,57
7/10/2012 16:00,70,72,54,82,72,,27,
7/10/2012 17:00,50,68,38,68,73,15,26,8
7/10/2012 18:00,24,63,44,64,64,12,20,16
7/10/2012 19:00,13,52,34,53,64,11,20,26
7/10/2012 20:00,12,43,34,50,60,11,17,24
7/10/2012 21:00,,52,18,56,44,14,21,23
7/10/2012 22:00,11,40,22,57,60,10,15,23
7/10/2012 23:00,11,40,22,57,64,10,16,24
8/10/2012 0:00,11,43,18,56,69,12,17,
8/10/2012 1:00,13,55,22,68,73,12,17,59
8/10/2012 2:00,16,63,29,68,78,13,20,66
8/10/2012 3:00,20,67,33,73,78,14,21,16
8/10/2012 4:00,23,67,38,73,78,20,24,16
8/10/2012 5:00,23,72,41,73,78,22,26,16
8/10/2012 6:00,33,72,50,73,83,26,27,
8/10/2012 7:00,33,82,54,77,83,24,36,65
8/10/2012 8:00,43,82,66,77,83,22,31,64
8/10/2012 9:00,57,82,66,82,83,21,31,64
8/10/2012 10:00,53,82,71,88,77,24,37,69
8/10/2012 11:00,61,82,81,88,83,24,37,69
8/10/2012 12:00,70,87,81,88,77,22,37,64
8/10/2012 13:00,70,87,87,88,77,25,43,69
8/10/2012 14:00,,87,67,88,77,23,37,95
8/10/2012 15:00,75,87,50,88,73,22,31,95
8/10/2012 16:00,57,82,81,77,73,14,29,
8/10/2012 17:00,54,76,62,73,73,11,42,60
8/10/2012 18:00,36,67,51,64,68,11,23,
