datetime,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque
1/10/2012 12:00,,,,,,,,
1/10/2012 13:00,8.93,16.33,8.65,18.72,18.38,20.26,23.45,11.97
1/10/2012 14:00,8.933252,16.3249928,8.6472166,18.7181855,18.383501,20.2531413,23.4585085,12.0045582
1/10/2012 15:00,8.9418665,16.3106181,8.6398326,18.7128445,18.3933551,20.2421771,23.4814874,12.0839516
1/10/2012 16:00,8.950481,16.2962434,8.6324486,18.7075034,18.4032092,20.2312128,23.5044662,12.163345
1/10/2012 17:00,8.9590955,16.2818687,8.6250646,18.7021623,18.4130633,20.2202486,23.527445,12.2427384
1/10/2012 18:00,8.96771,16.267494,8.6176805,18.6968213,18.4229175,20.2092844,23.5504238,12.3221318
1/10/2012 19:00,8.9763245,16.2531193,8.6102965,18.6914802,18.4327716,20.1983202,23.5734026,12.4015252
1/10/2012 20:00,8.984939,16.2387446,8.6029125,18.6861391,18.4426257,20.187356,23.5963814,12.4809186
1/10/2012 21:00,8.9935535,16.2243699,8.5955284,18.6807981,18.4524798,20.1763917,23.6193602,12.560312
1/10/2012 22:00,9.002168,16.2099952,8.5881444,18.675457,18.462334,20.1654275,23.642339,12.6397055
1/10/2012 23:00,9.0107825,16.1956205,8.5807604,18.670116,18.4721881,20.1544633,23.6653178,12.7190989
2/10/2012 0:00,9.019397,16.1812458,8.5733764,18.6647749,18.4820422,20.1434991,23.6882967,12.7984923
2/10/2012 1:00,9.0280115,16.1668711,8.5659923,18.6594338,18.4918963,20.1325349,23.7112755,12.8778857
2/10/2012 2:00,9.036626,16.1524964,8.5586083,18.6540928,18.5017505,20.1215706,23.7342543,12.9572791
2/10/2012 3:00,9.0452405,16.1381217,8.5512243,18.6487517,18.5116046,20.1106064,23.7572331,13.0366725
2/10/2012 4:00,9.053855,16.123747,8.5438403,18.6434106,18.5214587,20.0996422,23.7802119,13.1160659
2/10/2012 5:00,9.0624695,16.1093723,8.5364562,18.6380696,18.5313129,20.088678,23.8031907,13.1954593
2/10/2012 6:00,9.071084,16.0949976,8.5290722,18.6327285,18.541167,20.0777138,23.8261695,13.2748527
2/10/2012 7:00,9.0796985,16.0806229,8.5216882,18.6273874,18.5510211,20.0667495,23.8491483,13.3542461
2/10/2012 8:00,9.088313,16.0662482,8.5143042,18.6220464,18.5608752,20.0557853,23.8721271,13.4336395
2/10/2012 9:00,9.0969275,16.0518735,8.5069201,18.6167053,18.5707294,20.0448211,23.8951059,13.513033
2/10/2012 10:00,9.105542,16.0374988,8.4995361,18.6113643,18.5805835,20.0338569,23.9180848,13.5924264
2/10/2012 11:00,9.1141565,16.0231241,8.4921521,18.6060232,18.5904376,20.0228927,23.9410636,13.6718198
2/10/2012 12:00,9.122771,16.0087494,8.4847681,18.6006821,18.6002917,20.0119284,23.9640424,13.7512132
2/10/2012 13:00,9.1313855,15.9943747,8.477384,18.5953411,18.6101459,20.0009642,23.9870212,13.8306066
2/10/2012 14:00,9.14,15.98,8.47,18.59,18.62,19.99,24.01,13.91
2/10/2012 15:00,9.36,17.58,9.56,20.82,21.76,23.23,27.61,16.76
2/10/2012 16:00,11.29,19.87,11.9,22.44,23.15,23.87,30.33,18.32
2/10/2012 17:00,14.71,23.03,14.82,24.78,26.98,27.09,33.17,19.71
2/10/2012 18:00,19.11,26.51,17.46,30.68,30.83,31.95,35.62,22.37
2/10/2012 19:00,19.58,26.88,18.91,31.88,30.75,32.32,36.09,22.8
2/10/2012 20:00,22.42,27.92,20.53,32.97,31.07,33.55,37.55,24.09
2/10/2012 21:00,24.79,29.14,22.17,34.51,29.66,34.07,38.39,24.91
2/10/2012 22:00,26.85,31.55,22.03,34.56,30.23,35.64,38.13,24.79
2/10/2012 23:00,27.4,31.71,22.96,33.72,28.7,35.64,38.86,24.86
3/10/2012 0:00,27.22,30.93,22.09,32.55,28.51,35.14,38.32,23.69
3/10/2012 1:00,25.9,29.54,21.23,30.54,26.54,33.07,35.82,21.23
3/10/2012 2:00,23.27,27.37,19.13,28.87,24.93,30.12,32.96,18.71
3/10/2012 3:00,21.25,25.41,17.97,27.27,24.59,27.95,31.14,18.27
3/10/2012 4:00,20.22,24.79,16.78,26.49,22.7,27.3,29.37,18.56
3/10/2012 5:00,18.97,23.8,14.72,26.47,22.24,25.81,28.12,18.03
3/10/2012 6:00,17.31,20.99,13.99,23.23,21.13,24.99,27.02,16.31
3/10/2012 7:00,16.19,20.31,13.39,22.05,20.87,23.02,25.37,15.28
3/10/2012 8:00,16.06,20.17,13.01,22.05,20.59,23.99,25.09,14.65
3/10/2012 9:00,14.36,19.24,12.16,21.51,20.08,23.28,24.06,14.01
3/10/2012 10:00,13.21,18.81,11.15,21.07,19.6,23.29,22.98,13.11
3/10/2012 11:00,12.38,18.37,10.81,20.71,19.43,22.41,22.52,12.88
3/10/2012 12:00,11.425,17.985,10.445,20.085,18.61,20.53,20.2,11.56
3/10/2012 13:00,10.47,17.6,10.08,19.46,19.02,20.23,20.96,11.17
3/10/2012 14:00,9.94,17.11,10.35,19.29,18.88,19.11,21.98,12.34
3/10/2012 15:00,10.86,19.52,11.42,22,22.4633333,22.1966667,25.49,14.6666667
3/10/2012 16:00,11.78,21.93,12.49,24.71,26.0466667,25.2833333,29,16.9933333
3/10/2012 17:00,12.7,24.34,13.56,27.42,29.63,28.37,32.51,19.32
3/10/2012 18:00,13.75,26.33,14.27,29.96,31.3,30.8,33.8,21.38
3/10/2012 19:00,14.96,28.09,15.46,30.92,32.16,32.61,35.64,22.43
3/10/2012 20:00,16.29,28.89,15.98,30.86,32.73,33.85,36.65,23.05
3/10/2012 21:00,17.53,30.1,16.26,31.61,32.01,35.07,37.88,24.71
3/10/2012 22:00,18.76,29.725,16.03,31.03,30.48,35.885,38.07,25.23
3/10/2012 23:00,19.99,29.35,15.8,30.45,28.95,36.7,38.26,25.75
4/10/2012 0:00,19.68,29.66,15.64,29.16,29.02,36.45,38.25,25.63
4/10/2012 1:00,18.22,28.76,14.32,27.57,27.13,34.18,35.49,23.01
4/10/2012 2:00,16.12,26.81,12.86,25.96,24.62,32.65,32.89,21.48
4/10/2012 3:00,13.85,24.67,11.7,24.69,23.48,30.14,30.33,19.42
4/10/2012 4:00,12.58,23.41,10.76,23.02,21.84,28.63,29.31,18.91
4/10/2012 5:00,10.85,22.86,10.16,21.84,21.26,27.67,26.98,17.08
4/10/2012 6:00,9.69,21.53,9.92,21.03,20.83,26.49,25.75,15.62
4/10/2012 7:00,9.09,20.77,10,20.82,20.36,26.38,25.23,15.46
4/10/2012 8:00,8.28,20.52,9.36,19.98,19.25,25.07,24.36,15.46
4/10/2012 9:00,7.94,20.26,8.83,19.81,19.11,24.85,23.69,15.75
4/10/2012 10:00,7.52,18.66,8.34,19.13,19.02,23.48,22.53,13.73
4/10/2012 11:00,7.62,18.01,7.99,18.63,18.19,22.32,21.89,13.2
4/10/2012 12:00,8.55,17.25,7.44,18.31,17.84,22.16,21.07,12.94
4/10/2012 13:00,8.29,16.84,6.5,18.2,17.69,20.24,20.78,14.69
4/10/2012 14:00,9.62,17.04,6,18.17,17.57,21.79,21.49,14.59
4/10/2012 15:00,10.64,18.13,6.57,19.8,20.53,23.34,24.56,17.69
4/10/2012 16:00,13.54,21.11,9.25,21.02,22.66,26.77,27.39,19.86
4/10/2012 17:00,15.34,23.6,11.57,23.31,25.04,29.41,31.02,22.74
4/10/2012 18:00,16.6,24.59,12.88,24.88,25.94,31.5,32.92,24.61
4/10/2012 19:00,17.85,25.49,14.04,25.89,27.62,33.2,34.82,25.76
4/10/2012 20:00,18.57,26.36,15.53,26.71,28.25,34.44,35.77,26.98
4/10/2012 21:00,19.6,25.82,16.41,26.86,28.76,35.27,36.89,28.26
4/10/2012 22:00,19.88,25.32,16.9,27.26,28,35.96,37.34,27.98
4/10/2012 23:00,20.06,23.42,16.83,26.3,26.33,35.69,37.24,27.86
5/10/2012 0:00,19.84,21.49,16.45,25.21,25.26,35.34,36.74,25.85
5/10/2012 1:00,18.78,20.07,15.25,24.18,23.53,33.82,34.91,23.52
5/10/2012 2:00,17.39,18.09,13.23,22.11,22.03,31.5,31.7,21.32
5/10/2012 3:00,16.39,17.23,12.41,21.11,21.07,29.64,30.43,20.7
5/10/2012 4:00,15.58,16.61,11.3,20.32,20.1,28.72,28.53,19.6
5/10/2012 5:00,15.2,16.28,10.77,19.42,19.35,28.28,26.9,17.67
5/10/2012 6:00,13.87,16.1,10.1,17.89,19.01,27.2,25.92,16.28
5/10/2012 7:00,13.47,15.76,9.435,16.855,18.595,26.105,24.72,15.875
5/10/2012 8:00,13.07,15.42,8.77,15.82,18.18,25.01,23.52,15.47
5/10/2012 9:00,12.355,15.27,8.625,16.125,18.06,24.25,23.57,14.725
5/10/2012 10:00,11.64,15.12,8.48,16.43,17.94,23.49,23.62,13.98
5/10/2012 11:00,11.09,15.09,7.93,16.52,18,22.62,22.78,13.47
5/10/2012 12:00,10.37,15.07,7.49,16.67,17.96,22.07,21.68,12.76
5/10/2012 13:00,10.38,15.45,7.99,17.1,17.78,20.92,21.42,12.14
5/10/2012 14:00,9.18,15.87,6.93,17.26,17.86,21.12,22.37,13.83
5/10/2012 15:00,9.69,15.46,7.55,17.5,18.76,22.61,24.94,18.22
5/10/2012 16:00,11.72,16.26,9.83,18.64,20.32,25.27,27.92,20.53
5/10/2012 17:00,13.56,16.94,11.47,19.36,21.78,25.75,30.63,21.7
5/10/2012 18:00,17.19,18.98,13.46,20.89,23.03,27.88,31.86,24.11
5/10/2012 19:00,18.48,20.11,14.3,21.72,23.63,30.37,33.25,24.49
5/10/2012 20:00,20.05,20.87,16.07,22.58,23.95,31,34.33,25.5
5/10/2012 21:00,21.25,21.15,17.06,23.54,24.29,31.63,35.39,26.72
5/10/2012 22:00,21.5,20.66,16.79,24.26,23.81,32.15,35.32,26.78
5/10/2012 23:00,21.22,20.3,16.86,23.65,23.57,32.74,35.42,27.06
6/10/2012 0:00,20.51,18.6,16.7,22.78,22.58,32.65,34.31,25.66
6/10/2012 1:00,19.33,17.17,15.67,21.67,21.09,31.55,32.64,23.9
6/10/2012 2:00,17.95,16.4,14.45,20.56,19.99,31.17,30.59,22.47
6/10/2012 3:00,16.46,15.38,12.67,19.1,19.04,27.75,28.01,21.86
6/10/2012 4:00,14.75,15.08,11.43,18.71,18.59,27.51,25.81,19.66
6/10/2012 5:00,14.59,14.81,10.97,18.05,17.73,26.37,24.98,19.16
6/10/2012 6:00,13.76,14.78,10.48,17.05,17.4,25.26,23.51,18.68
6/10/2012 7:00,13.15,14.7,9.83,16.95,17.21,25.57,23.01,18.83
6/10/2012 8:00,12.255,14.68,9.53,16.42,17.445,23.915,22.04,17.43
6/10/2012 9:00,11.36,14.66,9.23,15.89,17.68,22.26,21.07,16.03
6/10/2012 10:00,10.65,14.44,8.62,15.84,17.84,21.18,20.49,15.93
6/10/2012 11:00,10.19,14.67,8.32,15.84,18.01,20.69,19.26,14.83
6/10/2012 12:00,10.07,14.7,7.91,15.84,18.12,20.74,18.75,13.67
6/10/2012 13:00,9.74,15.03,7.4,16.02,18.04,19.55,18.66,13.96
6/10/2012 14:00,9.45,15.26,7.5,16.15,17.65,19.31,20.51,14.67
6/10/2012 15:00,9.71,15.55,7.85,16.91,17.9,21.05,23.98,16.82
6/10/2012 16:00,12.42,16.39,10.34,17.81,19.58,23.19,26.77,18.26
6/10/2012 17:00,15.39,18.09,13.02,19.13,20.96,26.34,29.07,19.99
6/10/2012 18:00,18.02,19.55,14.43,21.57,22.28,27.58,30.78,21.59
6/10/2012 19:00,19.97,20.46,16.34,22.91,23.54,28.75,32.47,22.85
6/10/2012 20:00,20.65,20.94,18.96,23.78,23.17,29.55,32.84,24.3
6/10/2012 21:00,20.97,21.17,19.7,23.99,22.36,30.22,33.07,24.28
6/10/2012 22:00,21.13,21.53,19.54,24.16,21.96,30.76,33.56,24.67
6/10/2012 23:00,20.91,20.61,19.7,24.12,21.79,31.1,33.67,24.15
7/10/2012 0:00,20.18,19.75,18.9,23.38,21.49,30.84,32.94,23.36
7/10/2012 1:00,19.01,18.92,17.19,22.05,20.51,30.03,30.99,21.49
7/10/2012 2:00,17.32,17.7,14.9,20.71,19.39,28.3,28.82,20.48
7/10/2012 3:00,16.51,16.92,13.31,20.13,18.64,26.46,26.87,19.32
7/10/2012 4:00,15.84,16.56,12.22,19.21,18.03,25.29,25.34,18.5
7/10/2012 5:00,15.67,16.33,11.89,18.45,17.33,24.57,24.88,17.52
7/10/2012 6:00,14.6233333,15.7466667,11.2333333,17.83,16.9366667,23.795,23.8866667,15.91
7/10/2012 7:00,13.5766667,15.1633333,10.5766667,17.21,16.5433333,23.02,22.8933333,14.3
7/10/2012 8:00,12.53,14.58,9.92,16.59,16.15,22.17,21.9,12.69
7/10/2012 9:00,11.3,14.48,9.72,16.52,15.88,21.9,21.63,12.02
7/10/2012 10:00,11.3,13.15,7.62,16.13,15.46,21.71,20.94,7.2
7/10/2012 11:00,10.72,12.53,7.17,15.8,15.32,20.7,20.81,6.83
7/10/2012 12:00,9.12,12.35,6.86,15.91,15.23,20.49,20.49,7.2
7/10/2012 13:00,8.18,11.79,6.62,15.52,15.27,20.58,19.36,8.03
7/10/2012 14:00,6.97,12,6.39,15.77,15.28,20.54,19.71,7.64
7/10/2012 15:00,7.85,12.54,6.48,16.73,16.95,22.25,23.23,9.36
7/10/2012 16:00,10.09,15.5,9.33,18.6,18.64,24.73,25.03,15
7/10/2012 17:00,15.57,17.45,14.02,21.4,21.7,26.4,27.89,18.975
7/10/2012 18:00,18.28,18.58,16.32,22.98,23.62,27.85,29.81,22.95
7/10/2012 19:00,20.23,19.43,18.48,24.25,24.53,28.63,30.92,18.33
7/10/2012 20:00,21.35,20.23,20.27,25.06,24.94,29.31,31.94,19.4
7/10/2012 21:00,21.93,20.39,20.8,24.86,24.89,29.58,31.87,19.96
7/10/2012 22:00,22.35,21.1,21.63,24.79,24.71,30.68,32.39,20
7/10/2012 23:00,22.2,20.98,20.95,24.81,24.13,30.76,31.82,18.29
8/10/2012 0:00,21.71,20.45,20.47,23.91,23.21,29.14,31.31,12.78
8/10/2012 1:00,20.55,18.15,18.73,23.3,22.06,27.885,30.16,10.56
8/10/2012 2:00,18.7,16.37,16.88,21.96,20.93,26.63,28.77,8.89
8/10/2012 3:00,17.27,15.5,15.28,21.12,20.24,25.68,27.52,22.95
8/10/2012 4:00,16.64,14.81,14,20.58,19.37,23.92,26.01,22.95
8/10/2012 5:00,16.46,14.18,13.63,19.81,18.94,22.85,24.52,22.95
8/10/2012 6:00,15.48,13.78,13.17,19.66,18.5,22.03,23.69,3.16
8/10/2012 7:00,14.63,13.45,12.02,19.14,18.09,21.98,22.59,2.6
8/10/2012 8:00,12.91,12.91,10.63,18.95,17.95,20.33,22.44,1.93
8/10/2012 9:00,12.76,12.62,9.81,18.4,18.23,19.66,22.18,1.79
8/10/2012 10:00,10.55,12.31,9.78,18.01,18.56,19.48,20.86,1.51
8/10/2012 11:00,10.57,12.17,8.81,17.78,18.7,19.57,20.94,1.22
8/10/2012 12:00,8.28,11.4,8.87,16.99,18.61,18.33,20.91,1.51
8/10/2012 13:00,6.58,11.47,8.11,16.95,18.47,17.64,19.91,1.37
8/10/2012 14:00,5.97,11.47,7.1,17.12,18.42,18.12,20.68,1.24
8/10/2012 15:00,6.73,12.32,7.86,17.68,19.1,19.7,22.86,0
8/10/2012 16:00,9.95,13.98,10,20.39,20.51,22.42,26.12,4.84
8/10/2012 17:00,11.99,15.06,13.34,21.33,21.5,22.8,27.92,8.13
8/10/2012 18:00,18,17.41,16.72,23.29,23.24,24.89,30.87,11.73
8/10/2012 19:00,20.49,18.01,18.27,23.68,23.31,25.71,31.21,11.43
8/10/2012 20:00,20.98,19.1,19.31,24.51,23.93,26.85,32.47,13.63
8/10/2012 21:00,22.71,20.24,20.2,24.53,24.21,27.87,32.9,14.97
8/10/2012 22:00,23.87,20.96,21.17,24.76,23.66,28.55,33.17,15.26
8/10/2012 23:00,24.31,20.53,21.7,24.6,23.26,28.63,33.16,14.7
9/10/2012 0:00,23.78,18.96,21.28,23.41,22.29,28.57,32.77,14.41
9/10/2012 1:00,22.12,17.2,19.16,22.34,21.31,26.42,31.21,11.79
9/10/2012 2:00,18.58,15.73,16.55,21.16,19.75,25.055,29.25,9
9/10/2012 3:00,14.63,14.93,14.94,20.35,19.5,23.69,27.51,9.4
9/10/2012 4:00,13.74,14.68,12.89,19.77,19.09,22.21,25.33,9.8
9/10/2012 5:00,13.56,14.2,12.8,18.49,18.74,21.52,24.77,8.33
9/10/2012 6:00,10.73,13.52,10.87,18.01,18.65,18.6,23.92,6
9/10/2012 7:00,9.52,13.21,9.81,18.33,18.32,18.18,22.79,3.78
9/10/2012 8:00,8.1,12.905,9.575,17.145,18.54,17.76,21.715,5.73
9/10/2012 9:00,6.68,12.6,9.34,15.96,18.76,17.34,20.64,7.68
9/10/2012 10:00,5.57,12.41,8.74,15.67,18.59,16.73,19.59,7.22
9/10/2012 11:00,4.59,12.47,8.1,15.43,18.72,16.73,19.35,6.52
9/10/2012 12:00,4.1,12.07,7.67,15.43,18.85,16.18,18.67,5.75
9/10/2012 13:00,4.25,11.94,7.31,15.56,18.94,16.06,18.88,5.64
9/10/2012 14:00,3.21,10.78,6.9,16.04,18.94,16.06,19.26,7.05
9/10/2012 15:00,4.11,11.79,7.71,16.7,19.36,18.64,22.33,10.51
9/10/2012 16:00,7.44,14.72,11.48,18.1,19.63,22.3,25.69,13.1
9/10/2012 17:00,9.89,15.49,13.73,18.59,20.07,22.78,26.61,14.35
9/10/2012 18:00,13.18,17.93,16.36,20.78,22.16,25.13,29.01,16.49
9/10/2012 19:00,15.01,18.99,18.03,21.92,22.72,27.08,31,18.03
9/10/2012 20:00,16.95,19.52,19.51,23,23.56,28.32,31.97,19.57
9/10/2012 21:00,18.52,19.87,21.15,23.5,23.5,29.69,32.49,20.86
9/10/2012 22:00,20.18,20.11,20.69,23.88,22.48,31.48,32.92,21.8
9/10/2012 23:00,20.6,18.77,20.79,23.4,22.38,31.67,33.34,21.55
10/10/2012 0:00,20.23,18.55,20.29,22.4,21.87,30.98,32.82,20.86
10/10/2012 1:00,18.64,17.35,18.7,21.35,20.78,29.21,31.18,18.7
10/10/2012 2:00,14.6,15.98,16.03,19.93,19.23,26.68,28.99,16.59
10/10/2012 3:00,12.78,15.19,14.27,19.17,18.32,26.1,26.99,16.55
10/10/2012 4:00,11.47,14.78,13.45,18.55,17.64,25.32,25.88,15.3
10/10/2012 5:00,10.42,14.51,12.33,17.83,17.61,25.06,24.41,14.42
10/10/2012 6:00,8.62,13.31,10.98,16.39,17.59,24.4,23.3,13.46
10/10/2012 7:00,8.13,12.91,9.93,15.53,17.75,24.18,22.69,11.41
10/10/2012 8:00,7.55,12.49,9.55,15.36,17.93,23.41,21.65,10.6
10/10/2012 9:00,6.9266667,12.0066667,9.4933333,14.6366667,17.55,22.7133333,21.18,9.7666667
10/10/2012 10:00,6.3033333,11.5233333,9.4366667,13.9133333,17.17,22.0166667,20.71,8.9333333
10/10/2012 11:00,5.68,11.04,9.38,13.19,16.79,21.32,20.24,8.1
